Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Kids Return - Live,2024-07-05 22:41,2c3wkztuWgSjrVFKCeNOIJ,,0.383,0.454,7.0,-10.776,1.0,0.0313,0.931,0.887,0.114,0.35,143.934,248480.0,4.0
C418,Minecraft - Volume Alpha,Dry Hands,2024-07-05 22:40,1gNcPHAiVIQZmqJFJdt3ti,,0.68,0.00713,6.0,-22.499,0.0,0.0873,0.992,0.711,0.104,0.342,117.793,68500.0,4.0
Million Eyes,In the Wind,There Will Be Rain,2024-07-05 22:38,0KeDuUqEX3P0cKzRD5pEom,,0.644,0.433,9.0,-14.016,1.0,0.113,0.378,0.0,0.101,0.761,80.161,266733.0,4.0
Austin Farwell,City Lights,City Lights,2024-07-05 22:36,3wIPXvtCRiEI3yGrVxJ04o,,0.36,0.08,10.0,-23.637,1.0,0.0403,0.966,0.939,0.1,0.0832,72.565,119502.0,3.0
Janos Sebestyen,J. S. Bach: Italian Concerto / Chromatic Fantasia And Fugue / 12 Little Preludes,Prelude In C Minor BWV 999 : Prelude In C Minor BWV 999,2024-07-05 22:35,7dtoSOz1CtVOJB6I5iPDxi,,0.338,0.15,7.0,-27.434,0.0,0.0478,0.987,0.77,0.11,0.785,119.647,68573.0,3.0
Yu-Peng Chen,Genshin Impact - City of Winds and Idylls (Original Game Soundtrack),Tender Strength,2024-07-05 22:30,4UnZNaZ6mI2TRanaCG8jJ6,,0.474,0.0596,2.0,-21.343,1.0,0.0357,0.982,0.928,0.185,0.135,72.65,82756.0,4.0
C418,Minecraft - Volume Alpha,Wet Hands,2024-07-05 22:28,1tinoQpYXzpZDrb0BjK1e7,,0.616,0.035,9.0,-25.836,1.0,0.0432,0.996,0.939,0.0835,0.643,147.712,90000.0,3.0
Video Days,Sungazing,Bleached,2024-07-05 22:27,7o7E1nrHWncYY7PY94gCiX,,0.682,0.679,1.0,-11.548,1.0,0.0755,0.103,0.00831,0.204,0.251,131.157,252773.0,4.0
Austin Farwell,New Home,New Home,2024-07-05 22:25,707BRCe5feUySwv7141QeA,,0.378,0.014,5.0,-22.794,1.0,0.0515,0.994,0.87,0.116,0.198,71.865,126360.0,1.0
Million Eyes,In the Wind,The Mercy of the Wind,2024-07-05 22:23,3xewaeP0aNxAWNS7s0T3Zv,,0.363,0.619,8.0,-3.648,0.0,0.0374,0.113,5.79e-06,0.128,0.433,145.686,214579.0,4.0
Fabrizio Paterlini,Transitions III,Waltz,2024-07-05 22:22,73fZnvwSUlWwt9LLRkknzs,,0.27,0.0516,8.0,-33.766,0.0,0.0442,0.986,0.953,0.112,0.199,87.587,64788.0,4.0
Hikaru Shirosu,Waltz No. 1 Op. 6 Collapse,Waltz No. 1 Op. 6 Collapse,2024-07-05 22:19,0J2lmSTQQWhTiglHDbhLWm,,0.505,0.0239,9.0,-27.412,0.0,0.0445,0.994,0.956,0.123,0.193,155.588,156039.0,3.0
Imaginary Ambition,Take Five but it's Song of Storms,Take Five but It's Song of Storms,2024-07-05 22:17,6ffSbztpp1JxDqiaJ0qcHV,,0.578,0.28,7.0,-14.248,1.0,0.06,0.648,0.902,0.105,0.244,75.755,133253.0,4.0
Ben Crosland,The Turn,Oceans Apart,2024-07-05 22:16,1yqM5O07lL7R6UAdK5jvrR,,0.396,0.0559,9.0,-20.707,0.0,0.0599,0.987,0.935,0.11,0.278,95.217,78413.0,1.0
Austin Farwell,Once Upon a Time,Once Upon a Time,2024-07-05 22:14,7pcGcVUN9m12lfNuS3Xz8I,,0.346,0.0227,6.0,-25.447,1.0,0.0387,0.982,0.921,0.0976,0.0611,69.424,92592.0,5.0
Joe Hisaishi,Howl's Moving Castle Soundtrack,You're In Love,2024-07-05 22:13,3Lsdp3mbD27MjxvTeFm0v3,,0.526,0.0344,7.0,-27.855,0.0,0.11,0.996,0.924,0.118,0.208,67.101,71800.0,4.0
Yehezkel Raz,Preludes Book 1 - Streams,Ballerina,2024-07-05 22:12,5lm18pjbwdth6ENVllxjfl,,0.376,0.0207,3.0,-35.713,1.0,0.0678,0.993,0.954,0.0938,0.429,75.607,71581.0,1.0
Hikaru Shirosu,Op. 1: Multiverse,Waltz No. 1 Collapse,2024-07-05 22:09,0J2lmSTQQWhTiglHDbhLWm,,0.505,0.0239,9.0,-27.412,0.0,0.0445,0.994,0.956,0.123,0.193,155.588,156039.0,3.0
Fabrizio Paterlini,Fragments Found,Rue des Trois Frères,2024-07-05 22:05,3lSOZb5rruEnFbe9xWELF6,,0.354,0.169,8.0,-18.45,1.0,0.0405,0.959,0.889,0.1,0.105,138.125,111443.0,3.0
Joe Hisaishi,Freedom Piano Stories 4,Merry-Go-Round of Life - from 'Howl's Moving Castle',2024-07-05 22:00,39uLYYZytVUwcjgeYLI409,,0.239,0.287,7.0,-12.565,0.0,0.0388,0.876,0.644,0.122,0.185,71.608,311107.0,3.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Links,2024-07-05 18:44,0VyscP08nnuhIJCsghha5d,,0.556,0.125,7.0,-18.549,1.0,0.0516,0.994,0.969,0.104,0.382,104.191,121229.0,4.0
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,DEAD for Strings Perc. Harpe and Piano: 1. D.e.a.d,2024-07-05 18:36,2GhirY1WxwRTIW6R6FowyO,,0.705,0.402,5.0,-14.231,1.0,0.0407,0.539,0.386,0.119,0.81,78.072,179653.0,4.0
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,The Rain,2024-07-05 18:30,3blqASDu9vCsp7KeGtWuZn,,0.273,0.202,6.0,-17.268,0.0,0.0362,0.936,0.76,0.163,0.119,153.331,338320.0,4.0
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Ashitaka and San - Live,2024-07-05 18:26,41dTRbUxHUnjZlKAfo2jye,,0.238,0.244,1.0,-16.448,1.0,0.0285,0.939,0.866,0.181,0.126,83.571,257560.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,MKWAJU 1981-2009,2024-07-05 17:07,7foV6hkQS42AewdHBcR67b,,0.258,0.287,6.0,-12.218,0.0,0.0294,0.15,0.0,0.388,0.328,107.945,213560.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Silence,2024-07-05 17:03,161KlKBv120k9vQG7jKIsa,,0.36,0.355,0.0,-11.509,1.0,0.0289,0.941,0.427,0.28,0.224,170.09,418213.0,4.0
