Artist,Album,Song,Date Played,Song ID
Ryuichi Sakamoto,koko,Dancing In The Sky,2024-07-05 3:19,12TkChYdKe9Vj8s5Tkq1SI
Sumi Shimamoto,sings ジブリ リニューアル ピアノ バージョン,あの夏へ,2024-07-05 3:17,5AadvZ7rCvY2RHtPuRtZv0
Justin Hurwitz,La La Land (Original Motion Picture Score),Mia & Sebastian’s Theme (Celesta),2024-07-05 3:16,0GO6zmB9vtMNUcQH5nZBmc
Hikaru Shirosu,Op. 1: Multiverse,Prelude No. 2 Saxophone Quartet,2024-07-05 3:07,7jzddgRM1rI7shJJLvirBd
Claude Debussy,Debussy: Clair de Lune and Other Piano Favourites,La Fille aux Cheveux de Lin L. 33,2024-07-05 3:05,0fpqOyC5DLDe5gAYKBB6X7
Takatsugu Muramatsu,WHEN MARNIE WAS THERE Soundtrack Music Collection,While Cutting Tomatoes,2024-07-05 3:04,39mLvARa00g7fQiU65xhMB
Toshifumi Hinata,ひとつぶの海,Menuet,2024-07-05 3:02,0NxCQL5OFodinhM1GO5dxi
Hasso Gakudan,Pom Poko Soundtrack,Life of a Tanuki,2024-07-05 2:56,6U4BQjSv0ijFfOlkUpRP8h
Edvard Grieg,Miniatures and Collectibles,Arietta,2024-07-05 2:54,2YIaZvqivJGIFvyeDR2YUr
Hikaru Shirosu,Stories of a Figure Skater - Day Off,Stories of a Figure Skater - Day Off,2024-07-05 2:51,6oLdsKc3HYsBgmMKhwoOlK
Camille Saint-Saëns,Saint-Saëns: Le Carnaval des Animaux; Phaéton; Danse Macabre etc.,Le carnaval des animaux R. 125: 13. Le cygne,2024-07-05 2:48,5Aa3InQJHLUtSvTDtXXMsW
Joe Hisaishi,Spirited Away Soundtrack,Day of the River,2024-07-05 2:45,26W3vc21aHLaHF90gbsiq1
Katsu Hoshi,Only Yesterday Original Soundtrack,Main Theme,2024-07-05 2:43,4Ybnlh6ZJPqK6Os6QbQL5H
Taku Matsushiba,ユートラ/ユーリ!!! on ICE サウンド・トラックCOLLECTION,Afternoon Waltz,2024-07-05 2:42,1H4o83GjFDM6tJ3Gu7EvKM
Alexander Borodin,ムソルグスキー：「展覧会の絵」ラヴェル編、禿山の一夜、ボロディン：ダッタン人の踊り、「中央アジアの草原にて,ダッタン人の踊り (歌劇 イーゴリ公より) 2 娘たちの流麗な踊り,2024-07-05 2:41,3nz5gOAnmsgP55CFsj9cdN
Hikaru Shirosu,Tea Picking (Piano Solo Version),Tea Picking - Piano Solo Version,2024-07-05 2:38,5FzAePCRLMHqBg4iY9ktOD
Piero Piccioni,Amore Mio Aiutami (Original Motion Picture Soundtrack),Violino,2024-07-05 2:33,77TMuFit7SUhof0gl8LSpE
Toshifumi Hinata,オーガニック・スタイル 日向敏文 the BEST ～In the Twilight～,Good Evening Heartache - 2007 ver.,2024-07-05 2:31,2oN1uU4jnxUYTR9WsFgEWY
Million Eyes,In the Wind,A Bed of Flowers,2024-07-05 2:29,27cHwY7UTuadZD5XfoxxpI
Hemio,Love Does Soul Like Water on Withered Soil,Bosco (Forest),2024-07-05 2:26,4cm3I11ru6zfDGU1COPpq7
Hikaru Shirosu,Blue Stone of Atlas (Piano Solo Version),Blue Stone of Atlas - Piano Solo Version,2024-07-05 2:19,7N05mAG1X23Sd2PNOyoJSF
Takatsugu Muramatsu,WHEN MARNIE WAS THERE Soundtrack Music Collection,The Girl in the Blue Window,2024-07-05 2:18,7plrChn41Ko3l5LueHOiYE
Toshifumi Hinata,オーガニック・スタイル 日向敏文 the BEST ～In the Twilight～,Mother's Grace,2024-07-05 2:16,15iCgIOLcRNK4QRzMVlxNU
Million Eyes,In the Wind,In Your Dreams,2024-07-05 2:14,2A03tItx3iW4HSQefRCzsD
久石譲,Encore,Labyrinth of Eden,2024-07-05 2:11,0JOD85cRNVI7qbLz8NBaQP
Yu-Peng Chen,Genshin Impact - City of Winds and Idylls (Original Game Soundtrack),Say My Name,2024-07-05 2:09,3aZTpVwyzdp2Jb7sBFWjVd
Hikaru Shirosu,・・・・for Piano,・・・・for Piano,2024-07-05 2:06,17Avg1jSSasTET7Frh8MsO
Toshifumi Hinata,ひとつぶの海,End of the Summer,2024-07-05 2:04,3qlWyv2wrWHPNfDVbxXh4s
Shin Kono,TBS系 金曜ドラマ「大恋愛~僕を忘れる君と」オリジナル・サウンドトラック,Forget-me-not~ピアノバージョン,2024-07-05 1:56,5KSGI8yuyaqVoW9X8Bypv2
Million Eyes,In the Wind,Lily's Dance,2024-07-05 1:54,1HTlWjFFHXEgPSNv6FwbNk
Hikaru Shirosu,Prelude No. 3 Final Stars,Prelude No. 3 Final Stars,2024-07-05 1:52,6HXPnLjDnlXiPRMcE0liej
Ryuichi Sakamoto,Playing the Piano 12122020,MUJI2020,2024-07-05 1:50,6q4yJfdPmQh5OkzJHrj538
久石譲,Porco Rosso Soundtrack,Bygone Days,2024-07-05 1:48,7r3FYPlFjXYfqbAFV8pdXD
Hikaru Shirosu,Op. 1,Waltz No. 1 in B Minor Collapse,2024-07-05 1:45,1AxZdya49udSTKEhDV8VYp
Invadable Harmony,Lament,Lament,2024-07-05 1:43,1CJJ2EFKRybboFI5gaOm2R
Sebastian Reuten,Under This Luminous Sky (Original Animated Short Film Soundtrack),Introduction,2024-07-05 1:38,1tVxrdrb8rkR56DilhRSQV
Maurice Ravel,Ravel: Orchestral Works Vol. 5,Antar (After N. Rimsky-Korsakov): No. 7. Ravel: Allegretto,2024-07-05 1:35,0Ee9oam0N0ZzxZSN9nogTQ
Austin Farwell,High Above,High Above,2024-07-05 1:32,25b7fqfmk1yDyWcmoiiAkd
Caleb Bryant,Pacifica,Pacifica,2024-07-04 18:05,5ErAUJ075R5Q25mi9r4bni
Caleb Bryant,Serenity,Serenity,2024-07-04 18:03,5B0WdUAkBplspeMpn3nVcq
Travis Scott,ASTROWORLD,ASTROTHUNDER,2024-07-04 17:28,4MXhiYIRDMGAuvZc5IFTwC
Gunna,One of Wun,one of wun,2024-07-04 17:25,4Na2HfNSr58chvfX69fy36
Travis Scott,UTOPIA,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),2024-07-04 17:18,7x0n8ScpYy59dFVEMphOQ1
Travis Scott,UTOPIA,TELEKINESIS (feat. SZA & Future),2024-07-04 17:04,1i9lZvlaDdWDPyXEE95aiq
Travis Scott,UTOPIA,K-POP (feat. Bad Bunny & The Weeknd),2024-07-04 17:01,5L3ecxQnQ9qTBmnLQiwf0C
Travis Scott,UTOPIA,LOOOVE (feat. Kid Cudi),2024-07-04 16:57,0a4SMs889NwP8oWI7Vemle
Travis Scott,UTOPIA,LOST FOREVER (feat. Westside Gunn),2024-07-04 16:54,7EiUtdeoWcKqLi5ELZCjYf
Travis Scott,UTOPIA,SKITZO (feat. Young Thug),2024-07-04 16:48,0bkV1iQHSxBaksUqgEkcbc
Travis Scott,UTOPIA,PARASAIL (feat. Yung Lean & Dave Chappelle),2024-07-04 16:46,3iT4c9MPnaordWrfvTs8MU
Travis Scott,UTOPIA,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),2024-07-04 16:41,7hveL9mAxP1Toq2llCyW02
Travis Scott,UTOPIA,TOPIA TWINS (feat. Rob49 & 21 Savage),2024-07-04 16:38,0lodMO0qK83vfPiiD7FMEt
Travis Scott,UTOPIA,I KNOW ?,2024-07-04 16:34,6wsqVwoiVH2kde4k4KKAFU
Travis Scott,UTOPIA,DELRESTO (ECHOES) (feat. Beyoncé),2024-07-04 16:30,6EpZVG2zXeXGUitW8979U8
Travis Scott,UTOPIA,FE!N (feat. Playboi Carti),2024-07-04 16:26,42VsgItocQwOQC3XWZ8JNA
Travis Scott,UTOPIA,MELTDOWN (feat. Drake),2024-07-04 16:22,4kJn7armCJDav48yCu3yKh
Travis Scott,UTOPIA,SIRENS,2024-07-04 16:19,7LSpFCvRZZot2AlmkUzy9k
Travis Scott,UTOPIA,GOD'S COUNTRY,2024-07-04 16:17,4TCeFZNjGNQIpCuZmJkkE2
Travis Scott,UTOPIA,MY EYES,2024-07-04 16:13,4kjI1gwQZRKNDkw1nI475M
Travis Scott,UTOPIA,MODERN JAM (feat. Teezo Touchdown),2024-07-04 16:08,3KCNiDi9Pza6ZD8FggNoaw
Travis Scott,UTOPIA,THANK GOD,2024-07-04 16:05,1PH2MDbcBAU094DlgTIND1
Lil Yachty,Lil Boat 3.5,COFFIN,2024-07-04 5:48,5vDNippoMr52KpXBO9b9KQ
Kendrick Lamar,Mr. Morale & the Big Steppers,N95,2024-07-04 5:44,6AI3ezQ4o3HUoP6Dhudph3
Kanye West,Donda,Off the Grid,2024-07-04 5:36,6LNoArVBBVZzUTUiAX2aKO
Aaron May,CHASE,Let Go,2024-07-04 5:33,7cLnbmx7ZUWAwyocrKz3wL
Lil Tecca,Virgo World,Out Of Love (feat. Internet Money),2024-07-04 5:30,0IJA9KP6rT55jrP1YpTdhx
Mustard,Parking Lot,Parking Lot,2024-07-04 5:27,4HFNGbVmsMV5lHUvDuXLkl
KIDS SEE GHOSTS,KIDS SEE GHOSTS,4th Dimension,2024-07-04 5:10,6JyEh4kl9DLwmSAoNDRn5b
Travis Scott,ASTROWORLD,COFFEE BEAN,2024-07-04 4:56,4CLktmKM775TQvUTSWvrVI
Travis Scott,ASTROWORLD,HOUSTONFORNICATION,2024-07-04 4:52,11kDth1aKUEUMq9r1pqyds
Travis Scott,ASTROWORLD,BUTTERFLY EFFECT,2024-07-04 4:49,4BggEwLhGfrbrl7JBhC8EC
Travis Scott,ASTROWORLD,CAN'T SAY,2024-07-04 4:42,2cYqizR4lgvp4Qu6IQ3qGN
Travis Scott,ASTROWORLD,5% TINT,2024-07-04 4:32,27a1mYSG5tYg7dmEjWBcmL
Travis Scott,ASTROWORLD,WAKE UP,2024-07-04 4:28,20MuVazoNMv6xjKPnRFOxG
Travis Scott,ASTROWORLD,SKELETONS,2024-07-04 4:25,6NMtzpDQBTOfJwMzgMX0zl
Travis Scott,ASTROWORLD,NO BYSTANDERS,2024-07-04 4:22,6OaVWaGfhXn70ZJfdVcabn
Travis Scott,ASTROWORLD,STOP TRYING TO BE GOD,2024-07-04 4:16,1xYpVRspgaLxdJLOTQkTjg
Travis Scott,ASTROWORLD,R.I.P. SCREW,2024-07-04 4:13,4SZepBIPDRwPaHIjAKwRDb
Travis Scott,ASTROWORLD,CAROUSEL,2024-07-04 4:05,7KZ5MMVgBVox9ycroB2UrI
Travis Scott,ASTROWORLD,STARGAZING,2024-07-04 4:00,7wBJfHzpfI3032CSD7CE2m
Kupla,Dimensions,Lemonade,2024-07-03 18:16,17ii0mtdHgcLzojE9Yi0wm
Kupla,Somewhere. Nowhere.,End of the Road,2024-07-03 18:13,3cjfsbCvz9dGaSt1F9jKNl
Kupla,Somewhere. Nowhere.,Slumber Song,2024-07-03 18:11,4XSnavZ9PJWdWxQeR8EZq7
Kupla,Somewhere. Nowhere.,Elsewhere,2024-07-03 18:09,2jLtkF99lmlR1GnIPEI5tc
Kupla,Somewhere. Nowhere.,It's Like You Never Left,2024-07-03 18:06,5swBh1edZAtBwUV6TvrQ3v
Kupla,Somewhere. Nowhere.,Endurance,2024-07-03 18:03,3UNzdbfjJhjHRNwg7SDmg6
Kupla,Somewhere. Nowhere.,Noir,2024-07-03 18:01,75Co93xb3dzbnliFW9SjrT
Kupla,Somewhere. Nowhere.,Giants,2024-07-03 17:58,1ZqZzXdWGlrD1jy9R3aC8g
Kupla,Somewhere. Nowhere.,Carousel,2024-07-03 17:55,3QPwjDwTJ41nnCbdCAoXl5
Kupla,All Natural,Never Forget,2024-07-03 17:53,0Ez0HcZneugrMqIYjlmBFR
Kupla,Mirage,Paradise,2024-07-03 17:50,3UlZ1wcoYZOh4wG9ZWJPyc
Kupla,Lofi Girl x Chess.com - Chill beats to play chess to,Observer,2024-07-03 17:48,1fr6uMocz8fNcIqDhKG7mu
Kupla,Life Forms,Eons,2024-07-03 17:41,486udeYjJtmCKEVQeRU9Ym
Kupla,Kingdom in Blue,Sleepy Little One,2024-07-03 17:38,0dGZMIUo1X38IuzmHZMxVT
Kupla,Kingdom in Blue,Roots,2024-07-03 17:36,6IUqPEhzJz4k76s3JS5hJX
Kupla,Melody Mountain,Lavender,2024-07-03 17:34,0s4Wu6gCMlOF3kWFR9smfG
Kupla,Kingdom in Blue,Kingdom in Blue,2024-07-03 17:30,5hTweMt7B9nNgpC8T83vWe
Katsu Hoshi,Only Yesterday Image Album,Safflower - Piano Version,2024-07-03 16:01,6TYRnUhbIi830ERWtGKbSy
Umitaro Abe,Cahier de musique / 音楽手帖,Autour De L Amandier En Fleur,2024-07-03 15:30,0eNflwUrQmGAD0ta2rlO4q
C418,Minecraft - Volume Beta,Kyoto,2024-07-03 3:55,1goLLB3LX9bNeVsFeRY5ho
C418,Minecraft - Volume Beta,Aria Math,2024-07-03 3:50,4K0odcECsBvgzv9Lr9z4kd
C418,Minecraft - Volume Beta,Concrete Halls,2024-07-03 3:48,58Gi98Nvrjo7qVI1dHOqFD
C418,Minecraft - Volume Beta,Moog City 2,2024-07-03 3:45,1kKaRzjW8OiGLriIdpXHT1
Lloyd Vaan,Lens Flare,Present,2024-07-03 3:42,6Zrs6gUUaSkM1Z7d0FxOlF
C418,Minecraft - Volume Alpha,Subwoofer Lullaby,2024-07-03 3:38,1OJxI8lIWRqBvouJxW1nzN
Øneheart,snowfall,snowfall,2024-07-03 3:36,4xF4ZBGPZKxECeDFrqSAG4
Austin Farwell,New Home (Slowed),New Home (Slowed),2024-07-03 3:33,6h6runZeeczWEuEW2pFvYW
Bill Kiley,Katana Zero (Original Soundtrack),Rain On Brick,2024-07-03 3:32,1kKFZIMiyRKE6QlRjKRPXd
Jeremy Soule,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Secunda,2024-07-03 3:30,62nQ8UZVqR2RMvkJHkcO2o
Super Guitar Bros,Ocarina of Time,Fairy Fountain,2024-07-03 3:29,3uhGWxwYdkwzI9vHITtaza
C418,Minecraft - Volume Alpha,Key,2024-07-03 3:27,7K7E7LKK51PezScgsvVg9Y
C418,Minecraft - Volume Alpha,Droopy Likes Your Face,2024-07-03 3:25,7gyLz2xj0Wh17F29Re9ESY
C418,Minecraft - Volume Alpha,Droopy Likes Ricochet,2024-07-03 3:24,446uS2hk2kGLzVqWHnCApg
C418,Minecraft - Volume Alpha,Beginning,2024-07-03 3:22,4B3RbRUP0fl2KxaBWVUfo9
C418,Minecraft - Volume Alpha,Danny,2024-07-03 3:18,2Au50d6aZrsYrbxQzDjjYW
C418,Minecraft - Volume Alpha,Dog,2024-07-03 3:15,4YLXjoYmRGIXstTLtloHf2
C418,Minecraft - Volume Alpha,Cat,2024-07-03 3:12,5fqjfiMOFapIb8uFcxBStH
C418,Minecraft - Volume Alpha,Sweden,2024-07-03 3:09,4NsPgRYUdHu2Q5JRNgXYU5
C418,Minecraft - Volume Alpha,Thirteen,2024-07-03 3:04,0kzkuskPG278bhtYx2NPwY
C418,Minecraft - Volume Alpha,Chris,2024-07-03 3:02,3zWC1keGhHYD7omS4If9TD
C418,Minecraft - Volume Alpha,Clark,2024-07-03 2:59,4o0YiMA52IzmOn5yIdIhu5
C418,Minecraft - Volume Alpha,Équinoxe,2024-07-03 2:50,37WtwAa4PzRprHMp7Esdds
C418,Minecraft - Volume Alpha,Oxygène,2024-07-03 2:49,3sbcAG3y97g63yDSVMf38o
C418,Minecraft - Volume Beta,Blind Spots,2024-07-03 2:44,6jdrVuAbbvcEbUXy1V2HxM
C418,Minecraft - Volume Beta,Mutation,2024-07-03 2:22,10GI1Viariv5rg9kwkxysK
C418,Minecraft - Volume Beta,Taswell,2024-07-03 2:01,1uFqiHM1RBjVTdjqVf1Tq3
C418,Minecraft - Volume Beta,Haunt Muskie,2024-07-03 1:55,3ldyywwove50bW6LR2SYvE
C418,Minecraft - Volume Beta,Ballad of the Cats,2024-07-03 1:37,2itBJTmhXvA2cInJ9aC7J6
Foreign Air,For the Light,In The Shadows,2024-07-03 1:20,20TYc2OwFNxPVFRT2LYmZH
68+1,poisoned,poisoned,2024-07-03 1:18,43GS3mtezoIFiuIZCLLiDY
mo beats,Righteous,Righteous,2024-07-03 1:15,42WUhno3F81FUF3eQf0DzF
Marzuku,Colliding Stars,At Ends,2024-07-03 1:12,3Jt5IZqpG4VeV2LpFRhj5O
Gunna,Banking on me,banking on me,2024-07-03 1:09,7Fege3yv4dvehB3NdRBGwI
Hikaru Shirosu,Waltz No. 2 Robot,Waltz No. 2 Robot,2024-07-02 23:22,6Hq5Qpmp0MCNdqj9SJ2Irt
Claude Debussy,Debussy: Orchestral Works Vol. 6,Symphony in B minor (arr. T. Finno for orchestra): II. Un poco lento cantabile,2024-07-02 23:17,61BZ2UBzjv5i6AHadb18Lz
C418,Minecraft - Volume Alpha,Haggstrom,2024-07-02 4:42,5Q1kDli74zvXpNYFhQKrxU
Drake,Take Care (Deluxe),Take Care,2024-07-01 7:04,124NFj84ppZ5pAxTuVQYCQ
Eminem,Recovery,Love the Way You Lie,2024-07-01 6:59,23wfXwnsPZYe5A1xXRHb3J
Katy Perry,PRISM (Deluxe),Dark Horse,2024-07-01 6:57,4jbmgIyjGoXjY01XxatOx6
The Wanted,The Wanted (Special Edition),Glad You Came,2024-07-01 6:55,5yDL13y5giogKs2fSNf7sj
Black Eyed Peas,The E.N.D. (The Energy Never Dies),Meet Me Halfway,2024-07-01 5:02,6wOYnPq1hPihRepcDClPUw
Maroon 5,V,Maps,2024-07-01 4:32,4gbVRS8gloEluzf0GzDOFc
Naughty Boy,Hotel Cabana (Deluxe Version),La La La,2024-07-01 4:28,36pLU2ywVeBKEF0rrKtmCB
Kungs,Layers,This Girl (Kungs Vs. Cookin' On 3 Burners),2024-07-01 4:25,1A8j067qyiNwQnZT0bzUpZ
Calvin Harris,18 Months,I Need Your Love (feat. Ellie Goulding),2024-07-01 4:22,05SBRd4fXgn8FX7bf8BCAE
Rae Sremmurd,SremmLife,This Could Be Us,2024-07-01 4:18,4jTiyLlOJVJj3mCr7yfPQD
