Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Wolfgang Amadeus Mozart,The 50 Greatest Pieces of Classical Music,Piano Concerto No. 21 in C Major K. 467: II. Andante,2024-03-01 1:23,429GaRIWKJ3EU1GAQPbLcr,,0.137,0.0311,5.0,-28.208,1.0,0.0381,0.982,0.972,0.0908,0.063,179.223,433667.0,3.0
Giuseppe Verdi,The 50 Greatest Pieces of Classical Music,Nabucco Act III: Chorus of the Hebrew Slaves Va pensiero sull'ali dorate,2024-03-01 1:18,1zz2CSclaxD3ql7M9Y8YI3,,0.224,0.0945,1.0,-16.475,1.0,0.0426,0.989,0.764,0.102,0.0574,124.206,299253.0,3.0
Claude Debussy,The 50 Greatest Pieces of Classical Music,Suite Bergamasque L. 75: III. Clair de lune,2024-03-01 1:13,3aflqY3isjShFUHoiS1QbR,,0.371,0.00593,1.0,-32.075,1.0,0.0469,0.993,0.911,0.0699,0.0384,135.297,330840.0,3.0
Gustav Holst,The 50 Greatest Pieces of Classical Music,The Planets Op. 32: IV. Jupiter the Bringer of Jollity,2024-03-01 1:05,59Id4KrBWiizuq53doxWtp,,0.3,0.297,7.0,-14.937,0.0,0.037,0.924,0.925,0.314,0.279,139.855,456000.0,4.0
Johann Sebastian Bach,The 50 Greatest Pieces of Classical Music,Orchestral Suite No. 3 in D major BWV 1068: II. Air,2024-03-01 1:01,6t7lMFHSifu9j8NPMNCv9T,,0.0891,0.0894,2.0,-25.653,1.0,0.042,0.936,0.748,0.416,0.0728,80.828,284000.0,4.0
Carl Orff,The 50 Greatest Pieces of Classical Music,Carmina Burana: O Fortuna,2024-03-01 0:58,2d7139N7CJ9eJmGVE42Y44,,0.392,0.307,2.0,-13.074,0.0,0.0333,0.96,0.0451,0.0854,0.338,136.883,162773.0,3.0
Johann Pachelbel,The 50 Greatest Pieces of Classical Music,Canon and Gigue in D Major P. 37: I. Canon,2024-03-01 0:55,2f7TQdkEPquwvmVh3d0ipw,,0.287,0.146,2.0,-23.095,1.0,0.0415,0.974,0.872,0.101,0.275,142.246,305899.0,4.0
Frédéric Chopin,The 50 Greatest Pieces of Classical Music,Nocturnes Op. 9: No. 2 Andante in E-Flat Major,2024-03-01 0:50,6oZVIIJC4qaVmV59msx8wQ,,0.444,0.00655,11.0,-31.751,0.0,0.0422,0.994,0.869,0.0675,0.341,97.541,187000.0,4.0
XXXTENTACION,17,fuck love,2024-02-29 23:12,7AQim7LbvFVZJE3O8TYgf2,,0.797,0.533,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520.0,4.0
Key Glock,Glock Bond,Russian Cream,2024-02-29 22:54,03ThZweiBWFP8tOGsk6QMO,,0.867,0.774,11.0,-5.791,0.0,0.315,0.11,0.0,0.157,0.549,130.007,142498.0,4.0
Metro Boomin,HEROES & VILLAINS,I Can't Save You (Interlude) [with Future & feat. Don Toliver],2024-02-29 22:53,2N9LEu6Pf8nDcp3GjWJT1Z,,0.67,0.729,3.0,-4.61,0.0,0.209,0.0298,0.0,0.15,0.328,143.067,90720.0,4.0
Kendrick Lamar,good kid m.A.A.d city (Deluxe),Bitch Don’t Kill My Vibe,2024-02-29 22:24,4Pwjz3DfvfQWV0rO2V8jyh,,0.587,0.698,1.0,-8.948,1.0,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720.0,4.0
Tory Lanez,Alone at Prom,Lavender Sunflower,2024-02-26 3:47,1au2UduxcvHfa0fZS3Szci,,0.607,0.735,4.0,-6.065,0.0,0.095,0.253,0.0,0.11,0.964,88.894,151967.0,4.0
Tory Lanez,Hurts Me,Hurts Me,2024-02-26 3:32,0RBw4ODUQPO4cuAOZtBGga,,0.553,0.786,8.0,-5.477,0.0,0.0325,0.0438,0.0,0.119,0.673,149.968,140801.0,4.0
Brent Faiyaz,Larger Than Life,Best Time,2024-02-26 3:27,1zgHn1EqUyA0HqNYMdJ5ia,,0.81,0.307,9.0,-7.215,1.0,0.12,0.16,0.00298,0.0779,0.697,92.995,82509.0,4.0
J. Cole,Born Sinner (Deluxe Version),Power Trip (feat. Miguel),2024-02-26 3:23,2uwnP6tZVVmTovzX5ELooy,,0.667,0.608,1.0,-7.054,1.0,0.216,0.324,0.000198,0.426,0.475,99.992,241160.0,4.0
Zac Brown Band,You Get What You Give,Knee Deep (feat. Jimmy Buffett),2024-02-25 5:59,60IGhnH20N82dNxKnc8jDd,,0.715,0.584,8.0,-8.231,1.0,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173.0,4.0
Luke Combs,This One's for You Too (Deluxe Edition),Beautiful Crazy,2024-02-25 5:57,2rxQMGVafnNaRaXlRMWPde,,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,193200.0,4.0
Chris Stapleton,Traveller,Outlaw State of Mind,2024-02-25 5:51,5WFJ17ke5ldHuM0X3J5ddz,,0.453,0.713,0.0,-9.494,1.0,0.0366,0.0305,0.536,0.124,0.399,116.791,335293.0,4.0
Chris Stapleton,Traveller,The Devil Named Music,2024-02-25 5:45,3olGkpomYOWwRZsbFTZqiX,,0.729,0.685,7.0,-7.547,1.0,0.03,0.358,0.0102,0.111,0.56,122.284,231720.0,4.0
Chris Stapleton,Traveller,Was It 26,2024-02-25 5:40,3fqwjXwUGN6vbzIwvyFMhx,,0.392,0.37,9.0,-10.888,1.0,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293.0,4.0
Chris Stapleton,Traveller,Might as Well Get Stoned,2024-02-25 5:36,0DBYW9lHjTTz55gIt63IB9,,0.569,0.571,2.0,-8.393,1.0,0.0311,0.146,0.0304,0.155,0.635,121.698,277067.0,4.0
