Artist,Album,Song,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
X Ambassadors,ORION,BOOM,0fYVliAYKHuPmECRs1pbRf,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,195200,4
The xx,xx,Intro,5VfEuwErhx6X4eaPbyBfyu,0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,127920,4
Unknown Brain,Faceless,I'm Sorry Mom,7HdJogqyqiywQqF314GrOQ,0.704,0.74,2,-4.957,0,0.0855,0.0161,0,0.0691,0.512,91.971,190761,4
Ryan Trey,august,Mutual Butterflies,531MBHrtGF6nAkK4zUafi9,0.616,0.649,3,-5.133,0,0.462,0.59,0,0.142,0.751,78.131,183875,4
luvwn,Moonlight Hour,Silent Film,5CZzXtNcfZWFu57a0bckl4,0.559,0.0475,8,-26.962,0,0.049,0.879,0.949,0.0942,0.373,116.032,107585,4
HEALTHY SLEEP,counting stars,counting stars,7CosFlbml7Rhw7t4FrSkdz,0.287,0.635,11,-8.578,1,0.0325,0.024,0.000112,0.303,0.101,147.225,314627,4
Nobuddy,nobuddy's buddies vol. 1,rainy day,4QkvD53COA5qLA7rQ1Pa7D,0.568,0.75,2,-8.913,1,0.0466,0.0731,0,0.121,0.407,75.82,140440,4
Rose Bonbon,Puisque je dois partir,Puisque je dois partir,65Es9ZebwrAYOTwRVXlsPi,0.86,0.673,7,-8.404,0,0.208,0.376,0,0.14,0.505,107.031,151692,4
hushfall,Around the World,Rest,6wYhV6cdyyEGjDbOEp7KNY,0.601,0.838,0,-5.652,1,0.0378,0.00406,1.67E-05,0.194,0.494,110.255,239133,4
Charmer & Klay,Quiet Night,Ice Caves,4eaxZbDRf0mKdULiKdqLFf,0.418,0.9,0,-5.325,1,0.0614,0.059,2.87E-06,0.0617,0.369,132.558,168375,4
wood.,Submerged,Submerged,5oWUlLSK6sqzqe6XJCaBdO,0.579,0.113,7,-16.201,0,0.0389,0.862,0.88,0.105,0.0967,135.044,156000,4
Expedidor,fez frio meu carnaval (windblown),fez frio meu carnaval (windblown),69qtoEZxeelDI4Declw5zc,0.458,0.0304,11,-25.789,1,0.0308,0.783,0.87,0.113,0.109,82.522,140969,4
Monky,Serenity,Serenity,5Q1kDli74zvXpNYFhQKrxU,0.553,0.867,9,-9.599,1,0.0473,0.000171,0.525,0.101,0.785,140.006,218093,4
Smith Beats,Perfect Timing,Perfect Timing,4TFwMJ2j75bhZVzWzkrkrM,0.662,0.906,9,-3.198,1,0.0399,0.0109,1.82E-06,0.0869,0.692,125.885,342627,4
STEEZY PRIME,beyond the horizon,beyond the horizon,3l3iwn0WYGwyYHFZ5jcWpV,0.298,0.0496,9,-23.103,1,0.0309,0.959,0.916,0.107,0.0363,69.012,139688,4
ornithology,Here Forever,Here Forever,6A1mh31895sUIYEpOfeqC3,0.475,0.689,9,-9.351,0,0.054,0.532,0.00427,0.969,0.823,117.407,282200,4
Alex Hine,Autumn,hot chocolate,69eihm0ByPDKtOnZ2B9mA7,0.799,0.71,4,-5.099,1,0.0397,0.0367,0.000372,0.12,0.767,110.732,214960,4
Charmer & Klay,Primavera,Primavera,7nn69iUnrpfy1UiB5V2sLC,0.334,0.488,0,-9.35,1,0.05,0.358,9.74E-06,0.0913,0.13,156.857,160683,4
Charmer & Klay,Reflections,Marty G,3FCulVgqmB2Luqvy2NwaO5,0.506,0.158,7,-17.66,1,0.0356,0.992,0.983,0.0914,0.255,91.945,48179,4
kurt stewart,everything is so green this time of year,reach island,7BQVqJwiQCnbE70DlpJoL5,0.619,0.475,9,-10.028,1,0.0242,0.0678,0.367,0.0816,0.597,85.796,334755,4
ultmt.,I'm Coming Home,hello,6R0GRYk2vs2XuBVemYK5YZ,0.493,0.826,9,-3.106,1,0.311,0.095,3.42E-06,0.252,0.75,112.865,189974,4
Charmer & Klay,3 Day Weekend,Butter Factory,6AySVsq3VkhiojZLpWoeXu,0.568,0.962,0,-5.069,1,0.0495,0.0346,0.0118,0.589,0.47,160.903,110311,4
Charmer & Klay,Lucid Dream,Lucid Dream,3Yahrb4joLsIIdUSqyHJZ4,0.639,0.555,7,-9.873,1,0.0414,0.213,0.816,0.336,0.726,83.479,221640,4
