Artist,Album,Song,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Coast Modern,Coast Modern,Guru,1VzhfMEGIIkn5hFITMJzW1,0.716,0.58,10,-12.747,0,0.239,0.0694,6.71E-06,0.906,0.707,99.077,279640,4
Still Woozy,Habit,Habit,5tL2wDaEAsdTGLa8hN5NWq,0.711,0.776,8,-6.888,1,0.0509,0.0312,0.0169,0.09,0.79,116.001,196517,4
Foster the People,Torches,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
Tame Impala,Currents,The Less I Know the Better,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
Vundabar,Gawk,Chop,1ooSsh7QJvbez4jOhLGZ8U,0.453,0.484,7,-6.94,1,0.0289,0.299,3.24E-05,0.148,0.297,113.952,222693,4
MGMT,Oracular Spectacular,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3
Drake,For All the Dogs,Amen (feat. Teezo Touchdown),59ZmQR4pwCaa5iM3veM7Cs,0.646,0.605,0,-7.59,1,0.188,0.0636,0,0.253,0.309,90.156,141213,3
Kanye West,Graduation,Champion,4UQMOPSUVJVicIQzjAcRRZ,0.705,0.504,6,-8.307,1,0.226,0.00299,0,0.695,0.727,102.006,167600,4
Illuminine,Dear Piano,Dear Dolores - Dominique Charpentier Rework,52O4otaWg5dl0QoWJdaadw,0.295,0.00814,11,-32.512,1,0.0454,0.993,0.894,0.124,0.152,84.328,122267,3
Evgeny Grinko,Tiny Mouse Tales,Carousel,1VRLrOmRsCryOYDuTknhFJ,0.257,0.397,9,-15.5,0,0.0458,0.93,0.59,0.0961,0.14,171.952,131861,3
James Heather,Invisible Forces,Ultraviolet,26g48sI8nJSWGtLecKZrej,0.248,0.0621,5,-31.174,1,0.0362,0.988,0.873,0.144,0.0398,68.537,93657,5
A$AP Rocky,AT.LONG.LAST.A$AP,Everyday (feat. Rod Stewart Miguel & Mark Ronson),2N3U8uTYhjX2KwGT0pf5x0,0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818,260987,4
Frank Ocean,Blonde,Solo (Reprise),2qtoRFCOEL1gRn5q9DJC7F,0.669,0.749,7,-6.811,0,0.141,0.413,0,0.0848,0.608,80.169,78743,4
Toby Fox,Undertale Piano Collections 2,Chill,7aETfVDs6MnQg6uyEhhpro,0.142,0.123,6,-25.248,0,0.037,0.991,0.913,0.133,0.102,139.946,56284,4
Kensuke Ushio,A Shape of Light A Silent Voice the Movie Original Soundtrack,lvs,2m6jds9zw9x5bgNXZrN4yg,0.592,0.173,7,-20.698,1,0.0373,0.941,0.972,0.0947,0.433,69.999,85520,4
Hikaru Shirosu,Etude No. 1 Op. 8 Snow Mountain in Edo,Etude No. 1 Op. 8 Snow Mountain in Edo,4Gi7H0rHDqzAgZ53e7hvDJ,0.713,0.0192,0,-27.908,0,0.0408,0.977,0.632,0.0712,0.152,68.027,187059,4
HOYO-MiX,Genshin Impact - Islands of the Lost and Forgotten (Original Game Soundtrack),Illuminated Coral Palace,4GuANuPDRPS5P7mmcbkmeM,0.395,0.15,7,-19.697,1,0.0348,0.989,0.927,0.124,0.207,148.211,83567,4
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Up to Something (feat. Travis Scott & Young Thug),4RGacGFT2ztXhGgzeaYzIR,0.799,0.617,1,-8.809,1,0.157,0.322,0,0.134,0.667,114.014,184360,4
Frank Ocean,Novacane,Novacane,4osgfFTICMkcGbbigdsa53,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,302347,4
Jack Harlow,Sweet Action,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,0.923,0.604,11,-6.671,0,0.245,0.017,0,0.272,0.826,145.062,139741,4
Playboi Carti,Whole Lotta Red,Stop Breathing,2lLG56qpLP3UbcLuzMvkWX,0.856,0.57,9,-4.486,1,0.286,0.00637,0,0.0984,0.155,154.967,218943,4
URE Relaxing,Relaxing Piano Studio Ghibli Complete Collection - スタジオジブリピアノメドレー - 지브리 스튜디오 피아노 - 吉卜力工作室鋼琴 Vol.02,On a Clear Day (Piano Version),0uSRt7V6Cq0hVNYXLZGs4V,0.562,0.00204,4,-29.306,0,0.0533,0.995,0.863,0.204,0.264,63.929,71719,4
Claire Waluch,The Legend of Zelda: Acoustic Piano Covers,Opening (From Twilight Princess Ost),3r2IGHzVoZr5TBneht276O,0.447,0.0324,2,-25.887,0,0.0815,0.993,0.922,0.0784,0.211,67.21,66870,4
Jake Eaw,Spring 2022 Anime Piano Vol.2,Comedy,0wKTGnyN4A1QL2VethoKI7,0.57,0.928,2,-7.563,1,0.917,0.899,0,0.911,0.552,147.021,53347,1
Morunas,Animal Crossing: New Horizons,Animal Crossing: New Horizons - 9 AM,7vcWEKxDf2grG0FSvPA3G1,0,0.0192,4,-24.511,0,0,0.986,0.955,0.112,0,0,102147,0
Danny Elfman,Tim Burton's Corpse Bride Original Motion Picture Soundtrack (U.S. Release),Victor's Piano Solo,1fvRueeK5f60hkG1VzoXXq,0.41,0.0262,1,-26.593,0,0.0384,0.983,0.925,0.123,0.237,142.138,78000,3
The Game,Eazy,Eazy,6Ab81Bs9fcOwaTYuBsUUpI,0.716,0.551,1,-6.987,1,0.47,0.167,0,0.197,0.305,82.393,234288,4
Kanye West,My Beautiful Dark Twisted Fantasy,Hell of a Life,3rCNmRonlHN1TXQLcG3dSk,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962,327787,4
Otaku Muisc,Opening Triste Vol.1,5 Centimeters Per Second -Distant Everyday Memories,1OhIUKlULfyzqvcBAIuJoq,0.294,0.0071,11,-36.161,1,0.0422,0.991,0.955,0.12,0.216,124.554,114913,4
Bad Bunny,Un Verano Sin Ti,Me Porto Bonito,1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4
Kanye West,VULTURES 1,DO IT,3w0w2T288dec0mgeZZqoNN,0.594,0.811,1,-5.746,1,0.159,0.189,0,0.339,0.311,148.144,264324,4
TRASHXRL,Sequência da Dz7,Sequência da Dz7,7AOMxwwB14yOZr7o4BU23g,0.626,0.988,7,0.19,1,0.0376,0.267,0.106,0.308,0.9,129.967,94729,4
KENTENSHI,paranoia,paranoia,6iok02xWXKAfDaogasVVqh,0.477,0.418,7,-13.427,1,0.368,0.321,0.0325,0.115,0.489,180.103,117388,4
mikeeysmind,Simpsonwave (You Look Lonely),Simpsonwave (You Look Lonely),54kbOKITBmQHHj1aKxxKmI,0.69,0.297,1,-11.268,0,0.0521,0.0499,0.653,0.0846,0.305,150.966,160961,3
CURSEDEVIL,TUCA DONKA,TUCA DONKA,7bxyNLXYaEYaZTxAuQTHlD,0.817,0.963,1,-3.318,1,0.0353,0.0683,0.767,0.312,0.502,130.028,75692,4
ZWE1HVNDXR,GENTLE GANG,GENTLE GANG,61cw5eLamC2ekpfaunlX3I,0.444,0.232,2,-18.577,1,0.0394,0.722,0.0262,0.0979,0.512,96.775,131733,3
fam0uz,Aleph (Sped Up),Aleph - Sped Up,7fQG2vuTIpxsHDTl4hsbc0,0.48,0.782,10,-4.91,1,0.0518,0.00137,0.846,0.0747,0.724,181.143,72841,4
фрози,supїdo,supїdo,6RIbiMwg1QbFTq4dcJGQqq,0.391,0.794,9,-5.221,1,0.0483,0.00019,0.546,0.149,0.581,189.981,164999,4
FrankJavCee,FrankJavCee Collection Vol. 1 Pt. II,SimpsonWave1995,35DN4PTg8APLJlgXdc2Qeu,0.679,0.379,9,-10.719,1,0.0341,0.0701,0.259,0.103,0.467,149.994,159808,3
Lykia,SPEED IS LIFE,SPEED IS LIFE,2JNnPAra14TLlCSgSFSZA3,0.61,0.282,5,-16.544,0,0.0304,0.758,0.919,0.112,0.55,78.71,162480,4
hkmori,unrequited love,anybody can find love (except you.),2uTvkHhMvrwZZmEDWfxCmn,0.514,0.992,10,-1.019,0,0.198,0.947,0.413,0.122,0.401,95.841,131357,4
Kill Eva,Psycho Dreams (Sped Up),Psycho Dreams (Sped Up),6yt46G7lWn0oC2FEZZDsi6,0.294,0.603,5,-5.711,0,0.0448,0.000764,0.93,0.649,0.137,158.022,123333,4
WilliX,Metadata,Metadata,4h3K5he5ItFqJB1MVHMKJV,0.661,0.685,10,-6.104,0,0.0426,0.00055,0.00678,0.378,0.0755,124.015,108518,4
vowl.,2000 - sped up,2000 (sped up),3vUMN9hezWjBac9UE8xkVd,0.688,0.863,10,-4.911,0,0.0576,0.016,0.904,0.196,0.191,113.019,99072,4
VaporGod,Luxxid Diamondz,Luxxid Diamondz - Perfectly Pitched + Looped,2M1r4gMEPlalemkeEhfFWd,0.663,0.457,0,-16.509,1,0.0846,6.98E-06,0.32,0.265,0.139,140.116,123575,4
my head is empty,i was only temporary,i was only temporary,0X4YYZtZcvqNqYIpMd93IT,0.332,0.222,7,-30.108,0,0.0394,0.621,0.76,0.109,0.0336,107.067,98622,4
ZWE1HVNDXR,LOVELY BASTARDS,LOVELY BASTARDS,0EqczV3o6fwksegAavIHpX,0.613,0.81,1,-6.16,1,0.488,0.832,0.899,0.137,0.686,150.251,116104,4
Javi Lobe,Lost Time,Lost Time,1nJE8TEWK9hf9Bl0pekJCi,0.481,0.0639,2,-24.46,0,0.0449,0.991,0.942,0.0922,0.301,125.058,140556,4
Marika Takeuchi,Missing Piece,Missing Piece,7dS7O9Fv4P4pnX1Xz1DhSR,0.589,0.365,9,-14.291,1,0.0284,0.874,0.905,0.101,0.192,110.023,245307,4
Lucas Cooper,Zelda - A Storm of Songs,Inside the Houses (From Link's Awakening),6JMtl0nLKh3CX4AH3GR8QI,0.78,0.384,7,-15.594,1,0.0477,0.807,0.934,0.243,0.593,98.024,164245,3
Playboi Carti,Whole Lotta Red,On That Time,3dl8bSF08LQfCf4T6CCksf,0.598,0.476,0,-3.673,1,0.0333,0.00584,0,0.265,0.0545,150.078,102422,4
Key Glock,Yellow Tape 2,Ambition For Cash,1tkipCYkIgti8f1tqjfcWe,0.841,0.732,7,-5.186,0,0.19,0.0115,2.18E-05,0.136,0.576,149.012,143480,4
Camille Saint-Saëns,Romance,The Swan,1IM8x4lxZVOOP9gpQD6c5s,0.442,0.181,7,-20.419,0,0.0443,0.906,0.656,0.0598,0.172,115.884,432133,4
Erik Satie,Erik Satie & Friends,Gymnopédie No. 3,5NGtFXVpXSvwunEIGeviY3,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,205867,3
Joe Hisaishi,メロディフォニー,My Neighbour Totoro,7iqFh7Vftu6YfwZCSekgtU,0.177,0.295,0,-14.321,1,0.0378,0.771,0.752,0.0836,0.108,79.675,247173,4
Erik Satie,Erik Satie & Friends,Gymnopédie No. 2,5NGtFXVpXSvwunEIGeviY3,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,205867,3
Yuji Nomi,The Cat Returns (Original Soundtrack),Talking with Cats,1ZvKmovZw3Qu5izfGwrW96,0.292,0.0685,4,-24.19,1,0.0341,0.974,0.96,0.0953,0.0951,69.773,100333,3
Nicholas Britell,Succession: Season 1 (HBO Original Series Soundtrack),Adagio in C Minor,0HRyrj2c5TN8R4I4rehpSg,0.159,0.0809,0,-17.866,0,0.0421,0.87,0.961,0.105,0.0363,131.447,90013,4
Jamie Duffy,Solas,Solas,2AwBq3Ecjq5IfpC5f897VY,0.309,0.335,4,-16.708,0,0.0365,0.964,0.889,0.0932,0.356,84.623,192594,4
Taku Matsushiba,ユートラ/ユーリ!!! on ICE サウンド・トラックCOLLECTION,Passacaille in Barcelona,2xH7QrBeYXbX3l4ftsZxsO,0.178,0.207,11,-14.99,0,0.0358,0.961,0.87,0.102,0.0478,85.243,193640,3
Shiro Sagisu,Neon Genesis Evangelion (Original Series Soundtrack),Hedgehog's Dilemma,2rk8hnBWF0zZDFIVoeE16O,0.554,0.119,7,-20.872,0,0.0299,0.754,0.746,0.104,0.282,80.003,167307,4
Claude Debussy,Debussy: Clair de Lune and Other Piano Favourites,Clair de lune L. 32,3aflqY3isjShFUHoiS1QbR,0.371,0.00593,1,-32.075,1,0.0469,0.993,0.911,0.0699,0.0384,135.297,330840,3
Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,A Town with an Ocean View,2ZJ28Rm7OXMYJshLtp5uff,0.524,0.345,7,-15.659,1,0.0261,0.489,0.013,0.342,0.771,106.621,180333,4
Kim Bo,A Piano Dream,Mia & Sebastian's Theme,1p41apSUFh9ffHnkjCaMl9,0.472,0.0341,9,-23.985,1,0.0531,0.994,0.863,0.128,0.249,70.388,87312,5
Yu-Peng Chen,Genshin Impact - The Wind and the Star Traveler (Original Game Soundtrack),Genshin Impact Main Theme,6MZoXnbjDE2VgUWeMJgrrn,0.272,0.147,2,-13.879,1,0.039,0.974,0.956,0.0839,0.0397,82.766,106500,3
Vittorio Monti,Traumerei: Romantic Violin Favourites,Csardas,7AI7PbU2zIJfDV9qDNlhZX,0.307,0.141,2,-20.931,1,0.0597,0.934,0.067,0.119,0.223,175.395,285667,4
Joe Hisaishi,My Neighbor Totoro Soundtrack Collection,A Huge Tree in the Tsukamori Forest,7C9HH93AO6dTCWVXkBu0qn,0.496,0.0787,5,-25.658,0,0.0412,0.993,0.907,0.108,0.11,80.539,133715,4
Danny Elfman,Tim Burton's Corpse Bride Original Motion Picture Soundtrack (U.S. Release),The Piano Duet,2CPnPnfbCMESaNpBQbeA0X,0.475,0.0931,2,-20.771,0,0.0532,0.99,0.951,0.0899,0.188,134.217,113307,4
Joshua Kyan Aalampour,La Solitude,La Solitude,3VIoxewxwm4FbxAKfxK6Ez,0.316,0.318,11,-14.815,0,0.0441,0.979,0.912,0.485,0.224,150.466,75750,3
Francis Lai,Mayerling,La leçon particulière - Bande originale du film La leçon particulière,4OWa2dOlmtvMDhFrFL0QA1,0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,105560,3
Joe Hisaishi,My Neighbor Totoro Soundtrack Collection,The Path Of The Wind - Instrumental,3XxnYdibSlBhiq2wGlQ6ie,0.5,0.195,5,-14.019,1,0.0324,0.848,0.661,0.459,0.112,80.075,222773,4
Michael Giacchino,Up (Original Motion Picture Soundtrack),The Ellie Badge,5XBXvOSiZlVYUfhL25FkbI,0.0801,0.148,5,-20.389,0,0.0421,0.788,0.872,0.144,0.0329,82.012,185360,4
Arcade Fire,Her (Original Score),Song On The Beach,1hUi0hdMU0C3syYTyRdPub,0.599,0.00379,5,-31.414,1,0.0644,0.986,0.924,0.101,0.326,131.623,215622,3
Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,Departure,7uNu0IWPFHHmi8KI3akdEg,0.141,0.191,0,-15.328,1,0.0328,0.664,0.0207,0.183,0.0684,169.017,173627,4
Frédéric Schubert,Pop Ballads on Piano,L'autre Valse D'amélie,2osMu8c4ahjQGQ7gsRQw8I,0.258,0.279,1,-15.896,1,0.0613,0.954,0.907,0.114,0.0345,168.148,65681,3
Kim Bo,Congratulations (Piano Version),Congratulations - Piano Version,5pqHtOnyeIhyWIwgXn2Ycq,0.629,0.018,11,-28.342,0,0.039,0.995,0.906,0.164,0.497,64.02,178142,4
Yu-Peng Chen,Genshin Impact - The Wind and the Star Traveler (Original Game Soundtrack),Dawn Winery Theme,3p19U1rci1sp5NfjReoN7W,0.312,0.159,11,-16.726,0,0.0454,0.97,0.222,0.0983,0.188,110.507,68321,3
Joe Hisaishi,A Symphonic Celebration - Music from the Studio Ghibli Films of Hayao Miyazaki,A Town with an Ocean View - from 'Kiki's Delivery Service',2ZJ28Rm7OXMYJshLtp5uff,0.524,0.345,7,-15.659,1,0.0261,0.489,0.013,0.342,0.771,106.621,180333,4
Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],Day One (Interstellar Theme),4WmB04GBqS4xPMYN9dHgBw,0.311,0.0173,9,-27.788,0,0.0348,0.927,0.964,0.0727,0.0658,95.985,199423,3
Joe Hisaishi,My Neighbor Totoro Soundtrack Collection,The Village in May,3GW0s9UeNYzF2jyCb2UWe2,0.446,0.204,0,-14.134,1,0.0357,0.927,0.846,0.154,0.655,121.37,98800,4
Niccolò Paganini,Paganini: Music For Violin And Guitar Vol. 2,Sonata for Violin and Guitar in A Minor Op. 2 No. 6 MS 26: Tempo di Walzer,74gu56oUMmJCk5OQ2eTxAn,0.373,0.16,4,-20.186,0,0.0413,0.974,0.529,0.196,0.433,86.066,423027,4
Joe Hisaishi,Laputa: Castle in the Sky Soundtrack -The Mystery of the Levitation Stone-,Sheeta's Decision,2spxSCcvHlfqz0jPendHrJ,0.478,0.00646,1,-34.857,0,0.0473,0.977,0.932,0.085,0.0398,75.681,93345,4
Mike Posner,31 Minutes to Takeoff,Cooler Than Me,2V4bv1fNWfTcyRJKmej6Sj,0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,213293,4
Johannes Brahms,Songs from the Arc of Life,Wiegenlied Op. 49 No. 4 (Arr. for Cello and Piano) [Brahms Lullaby],6DGedHvfPJsCt1uXDSgNmF,0.542,0.00356,0,-32.619,1,0.0743,0.995,0.946,0.0617,0.436,63.873,151901,3
Alexis Ffrench,Dreamland,Dreamland,1lP5gmOcL7PxGodcw6rX04,0.235,0.118,3,-20.222,1,0.0318,0.98,0.888,0.125,0.185,167.29,161258,3
Frédéric Chopin,The Best Chopin,Nocturne No. 19 in E Minor op. 72 no. 1,61YM5SkqqeUjIBL7It56cs,0.446,0.0146,10,-31.047,1,0.12,0.991,0.945,0.116,0.0815,137.697,302269,1
George Gershwin,Rhapsody,Gershwin: Gershwin Songbook: No. 8 The Man I Love,4BlM6AO7TOtqxcY9qMHIuc,0.449,0.00631,5,-36.027,0,0.041,0.996,0.902,0.112,0.0676,69.325,145200,5
Leon Bates,Gershwin: 6 Songs / Corea: Children's Songs,Fascinatin' Rhythm,7MQ1HfXBLl4y23fHNEZMgQ,0.311,0.131,3,-23.794,1,0.0346,0.983,0.932,0.122,0.196,144.53,223000,4
Georges Bizet,Bizet: Carmen & L'Arlésienne Suites,Carmen Suite No. 1 (Arr. E. Guiraud): III. Intermezzo,6IuHbYWV49tArCbHBgMHl7,0.248,0.00674,2,-36.547,1,0.0417,0.952,0.271,0.155,0.185,176.236,121933,3
Nikolai Rimsky-Korsakov,Rimsky-Korsakov (The Best Of),Tale of Tsar Saltan Op. 57: Flight of the Bumblebee: Flight of the Bumble-Bee,23Ww5eWRmDR5jys7mMK0Ky,0.44,0.0246,2,-31.403,0,0.0364,0.968,0.968,0.361,0.444,77.117,97133,4
Jean Sibelius,Sibelius - Great Recordings,13 Pieces for Piano op. 76: II. Etude,4StypY6VnE9BqgqQ0ni1tg,0.254,0.15,9,-26.242,0,0.0375,0.983,0.882,0.0997,0.648,71.912,71773,4
George Gershwin,Gershwin: 3 Preludes,3 Preludes: III. Allegro ben ritmato e deciso,7ttkbRhNVOaHv2AdhC5N0u,0.383,0.186,5,-19.787,1,0.0386,0.992,0.846,0.0991,0.246,94.955,103107,4
Antonio Vivaldi,Vivaldi: The Four Seasons,The Four Seasons Violin Concerto No. 2 in G Minor RV 315 L'estate: III. Tempo impetuoso d'estate,3Vji5BYcceyvEOBNCHsVrx,0.445,0.101,5,-25.103,0,0.0555,0.814,0.576,0.0817,0.339,150.515,209107,4
Camille Saint-Saëns,Songs from the Arc of Life,The Carnival of the Animals R. 125: XIII. The Swan (Arr. for Cello and Piano),0jOnZhF75V68VsBObWx2XO,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3
Leon Bates,Gershwin: 6 Songs / Corea: Children's Songs,3 Preludes : Allegro Ben Ritmato E Deciso,3TChFoNvKras9uQkimzK8R,0.441,0.0987,0,-23.294,0,0.0391,0.982,0.875,0.135,0.192,99.659,86000,4
Georges Bizet,Bizet: Carmen & L'Arlésienne Suites,Carmen Suite No. 2 (Arr. E. Guiraud): IV. Chanson du Toréador,6IuHbYWV49tArCbHBgMHl7,0.248,0.00674,2,-36.547,1,0.0417,0.952,0.271,0.155,0.185,176.236,121933,3
Frédéric Chopin,Chopin: Piano Sonata No. 2 Nocturnes Barcarolle & Scherzo,Chopin: Nocturne No. 20 in C-Sharp Minor Op. posth.,2MSgFefjK0T7Iwjvr3OKqV,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,4
Franz Liszt,Liszt: Scherzo and March / 3 Liebestraume / Berceuse,Liebestraume S541/R211 : No. 3: Nocturne in A-Flat Major,6GzMz3s0K1YKwRVI36CgRx,0.343,0.0342,8,-25.591,1,0.0406,0.991,0.92,0.1,0.0378,60.228,270000,3
Dmitri Shostakovich,Shostakovich: Piano Concertos Nos. 1 & 2 and String Quartet No. 8,Piano Concerto No. 1 in C minor Op. 35: III. Moderato -,7lFRAFQ2f2AmWOefaiV4wb,0.221,0.00193,3,-43.209,1,0.0409,0.992,0.956,0.0805,0.347,69.843,107000,5
George Gershwin,Gershwin: Three Preludes: I. Allegro ben ritmato e deciso (Adapted for Clarinet and Piano by Ottensamer) [Musical Moments],Three Preludes: I. Allegro ben ritmato e deciso (Adapted for Clarinet and Piano by Ottensamer),7ttkbRhNVOaHv2AdhC5N0u,0.383,0.186,5,-19.787,1,0.0386,0.992,0.846,0.0991,0.246,94.955,103107,4
Kurt Weill,Weill: Violin Concerto Op. 12 Kleine Dreigroschenmusik & Berlin im Licht,Kleine Dreigroschenmusik: II. Die Moritat von Mackie Messer,3pXu2B1hDDcrPvb4cNq0Ey,0.352,0.0336,0,-32.328,1,0.0344,0.976,0.983,0.125,0.506,160.148,127067,4
Johann Sebastian Bach,Bach: Cello Suites Nos. 1 5 & 6,Cello Suite No. 1 in G Major BWV 1007: I. Prélude,0r4WOeSLKkDgVJpEobgdBW,0.243,0.273,7,-15.171,1,0.0432,0.886,0.706,0.149,0.432,140.171,121061,4
Bedřich Smetana,Smetana: Piano Works Vol. 4,3 Polkas de salon Op. 7 JB 1:60: No. 3 in E Major Allegretto ma non troppo,4euaR14movDDhDaWuYwX3A,0.364,0.0339,4,-29.879,1,0.0471,0.995,0.822,0.0837,0.0383,130.722,114827,5
Camille Saint-Saëns,Saint-Saëns: Organ Symphony; Bacchanale; Danse Macabre; Carnaval des Animaux,Carnival of the Animals R. 125: The Swan,0jOnZhF75V68VsBObWx2XO,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3
Rui Fujishiro,Late Spring,Late Spring,0NEh2uYCoEt3Jp1JjBrKuv,0.368,0.199,9,-16.69,0,0.0352,0.993,0.936,0.117,0.294,65.828,175870,4
Jean Sibelius,Sibelius J.: 10 Pieces / Jaakarien Marssi / 13 Pieces / 2 Rondinos / 10 Little Pieces,13 Pieces Op. 76: No. 2. Etude,4StypY6VnE9BqgqQ0ni1tg,0.254,0.15,9,-26.242,0,0.0375,0.983,0.882,0.0997,0.648,71.912,71773,4
Robin Appelqvist,Yonder Hills,Yonder Hills,3ZDpsASzyGEc4qykMZHlX9,0.711,0.0311,2,-29.356,0,0.108,0.993,0.903,0.0677,0.371,106.977,91879,4
Carl Philipp Emanuel Bach,C.P.E. Bach: The Complete Works for Piano Solo Vol. 7,Solfeggio No. 1 in C Minor Wq. 117/2 H. 220,5CkH1gAVbkhFCzxOgNtK0v,0.276,0.197,5,-24.951,0,0.056,0.992,0.919,0.1,0.4,75.641,58227,4
Jordy Chandra,Genshin Impact - Guizhong's Lullaby,Guizhong's Lullaby (Piano Version),21W2dM2jPfm4voCR4Hjf8a,0.477,0.0127,6,-32.99,1,0.0481,0.993,0.125,0.96,0.21,52.564,96000,4
Nils Frahm,Graz,Because This Must Be,4CJUL27qGiX5MfHFcFpr38,0.191,0.0641,0,-29.622,0,0.0422,0.99,0.841,0.119,0.0872,133.179,165558,3
疗愈音律,高级咖啡厅用餐轻松之纯音乐,舌尖的味蕾,58sRBrYOraxUtDX2mWLj0K,0.566,0.149,4,-23.823,1,0.0533,0.974,0.875,0.0846,0.443,80.007,75750,4
Jake Eaw,Summer 2022 Anime Piano Vol.1,ALIVE,3jQ9VwP6G34Y9MvlyMxH5V,0.23,0.354,8,-19.709,0,0.0345,0.932,0.938,0.131,0.494,178.851,89066,4
Superdope,Drops of Dihua Marsh (Genshin Impact) [SuperDope Remix],Drops of Dihua Marsh (Genshin Impact) - SuperDope Remix,1gYQHfCKP6sp8BnUbxv2iB,0.73,0.265,5,-14.909,1,0.0609,0.813,0.85,0.132,0.154,90.503,66298,4
Erik Satie,Satie: Parade Gymnopédies Mercure & Relâche,Mercure Scene 1: La nuit,5TKvSoHEXaCyk2GKM6pC3J,0.143,0.00194,0,-35.355,1,0.045,0.932,0.0318,0.0694,0.0495,139.288,73827,3
疗愈音律,高级咖啡厅用餐轻松之纯音乐,温柔细腻的小调 - 轻音乐,7dCIpWOBjZN3ZXgFd0LvAF,0.611,0.129,4,-25.423,1,0.0544,0.947,0.84,0.338,0.607,160.048,75750,4
Soave Lofi 0,One Piece Collection,PAINT - Opening 24,39LCqcckpaHZDkLAp1kBBk,0.342,0.073,6,-28.958,0,0.0367,0.993,0.885,0.119,0.204,72.545,83590,4
Rui Fujishiro,Sentimental Days,Home,3lt8rdAZFezWepsdTvoPrY,0.587,0.013,1,-31.739,1,0.0542,0.995,0.946,0.108,0.148,64.878,134769,4
ODESZA,A Moment Apart,A Moment Apart,59wlTaYOL5tDUgXnbBQ3my,0.406,0.665,7,-7.903,0,0.0352,0.172,0.693,0.492,0.0758,119.988,234244,4
Bob Moses,Love Brand New,Love Brand New,1rJgKcK3ilp4xg7WxTs4RG,0.483,0.851,11,-3.674,0,0.0693,0.00632,0.000277,0.141,0.202,92.94,198480,4
JAY-Z,Watch the Throne,Otis,14I61w6cyYUHiV2n28IYdP,0.754,0.631,7,-4.751,0,0.307,0.552,0,0.5,0.432,94.577,178213,4
Frank Ocean,Blonde,Facebook Story,73D5hBkiVZkopZrmBZTBWf,0.526,0.179,0,-20.55,1,0.692,0.873,0,0.248,0.698,81.993,68588,3
Frank Ocean,Blonde,Pretty Sweet,1fOkmYW3ZFkkjIdOZSf596,0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,268813,3
Metro Boomin,HEROES & VILLAINS,Trance (with Travis Scott & Young Thug),0OoNzMdPSgbkM5MkcuEZfm,0.739,0.496,10,-8.358,1,0.265,0.53,2.82E-05,0.0985,0.191,93.947,174707,4
Jake Eaw,Fall 2021 Anime Piano Vol.2,Kaze To Iku Michi,1i3mhE6ZLHc4iY3hUqVap1,0.5,0.186,4,-21.429,1,0.0617,0.978,0.97,0.111,0.164,172.079,89875,1
Fabrizio Paterlini,Historiette No. 5,Historiette No. 5,66Q6qHI1mPeGiUj85F9ZGu,0.324,0.237,2,-18.392,0,0.0525,0.989,0.887,0.108,0.233,112.854,197983,4
Philip Glass,Glass: String Quartets Nos. 1-4,String Quartet No. 3 Mishima: VI. Mishima / Closing,4qZh3yJ7tILlDD0Wmv7Ftj,0.198,0.0382,0,-29.885,0,0.0443,0.989,0.969,0.17,0.127,136.392,194373,4
Emiliano Blangero,Pensieri,Pensieri,3p10WgCpHl1GjI0mtlVZPk,0.351,0.012,9,-28.245,0,0.0497,0.993,0.935,0.0798,0.183,71.031,140147,4
